0_name,epochs,dropout,learning_rate,learning_rate_decay_type
CNS_TEM_2021-12-01_02-57-01,2000,0.75,0.001,polynomial
TEM_2021-06-08_14-58-45,600,0.75,0.01,polynomial
CNS_TEM_2021-12-01_02-28-15,2000,0.6,0.001,polynomial
TEM_2021-10-18_01-44-32,600,0.75,0.01,polynomial
best_CNS_model,2000,0.75,0.001,polynomial
CNS_TEM_2021-11-04_09-47-36,2000,0.75,0.001,polynomial
CNS_TEM_2021-11-29_01-45-10,2000,0.75,0.001,polynomial
CNS_TEM_2021-11-03_17-43-46,600,0.75,0.01,polynomial
default_TEM_model,2000,0.75,0.01,polynomial
CNS_TEM_2021-11-28_02-12-36,300,0.75,0.001,exponential
TEM_2021-11-15_21-44-09,1000,0.75,0.01,polynomial
PNS_notpretrained_TEM_2021-12-02_04-05-30,1000,0.75,0.001,polynomial
CNS_TEM_2021-12-01_02-28-15_ct_NAdata,2000,0.6,0.001,polynomial
CNS_TEM_2021-11-16_02-01-10,300,0.75,0.001,exponential
TEM_2021-10-26_00-53-41,2000,0.75,0.001,polynomial
PNS_TEM_2021-12-01_01-23-00,2000,0.75,0.001,polynomial
CNS_TEM_2021-11-04_16-05-02,2000,0.75,0.001,polynomial
CNS_TEM_2021-11-03_19-49-44,600,0.75,0.01,polynomial
CNS_TEM_2021-11-15_13-28-39,2000,0.75,0.001,polynomial
TEM_2021-10-18_14-37-30,600,0.75,0.01,polynomial
PNS_TEM_2021-11-16_05-59-29,300,0.75,0.001,exponential
CNS_TEM_2021-11-29_01-40-23,2000,0.75,0.001,polynomial
TEM_2021-10-25_22-02-38,600,0.75,0.01,polynomial
PNS_notpretrained_TEM_2021-12-02_03-51-59,1000,0.75,0.01,polynomial
PNS_TEM_2021-11-16_02-51-39,2000,0.75,0.001,polynomial
CNS_TEM_2021-11-28_02-51-54,1000,0.75,0.001,exponential
TEM_2021-10-25_23-14-56,600,0.75,0.01,polynomial
PNS_TEM_2021-11-03_17-37-02,600,0.75,0.01,polynomial
CNS_TEM_2021-11-28_02-18-56,1000,0.75,0.001,exponential
TEM_2021-10-26_19-23-04,2000,0.75,0.001,polynomial
CNS_TEM_2021-11-15_23-46-07,600,0.75,0.001,polynomial
TEM_model_10.19.21-3-40,2000,0.75,0.01,polynomial
CNS_TEM_2021-11-03_20-20-10,600,0.75,0.01,polynomial
CNS_TEM_2021-11-28_02-50-23,1000,0.75,0.001,exponential
TEM_2021-11-15_21-25-58,1000,0.75,0.01,polynomial
CNS_TEM_2021-11-29_01-46-19,2000,0.75,0.01,polynomial
CNS_TEM_2021-11-29_01-49-02,2000,0.75,0.001,polynomial
CNS_TEM_2021-11-04_23-13-38,2000,0.75,0.001,polynomial
CNS_TEM_2021-11-04_23-51-27,2000,0.75,0.001,polynomial
CNS_TEM_2021-12-01_02-29-32,2000,0.5,0.001,polynomial
spinalcord_TEM_2021-11-03_17-35-01,600,0.75,0.01,polynomial
PNS_TEM_2021-11-03_19-55-29,600,0.75,0.01,polynomial
PNS_notpretrained_TEM_2021-12-02_03-45-10,1000,0.75,0.01,polynomial
CNS_TEM_2021-11-04_18-47-52,2000,0.75,0.001,polynomial
CNS_TEM_2021-11-05_00-51-04,2000,0.75,0.001,polynomial
CNS_TEM_2021-12-01_02-19-51,2000,0.75,0.0001,polynomial